investigation_number,build_datetime,cost_usd
337-TA-1366,2026-09-25T00:22:02Z,0.000000
337-TA-1384,2026-09-25T00:22:02Z,0.000000
337-TA-1384,2026-09-25T01:22:34Z,0.044986
337-TA-1384,2026-09-25T01:27:48Z,0.000000
337-TA-1384,2026-09-25T01:29:16Z,0.000000
337-TA-1366,2026-09-25T02:07:15Z,0.086593
337-TA-1366,2026-09-25T02:07:48Z,0.000000
337-TA-1366,2026-09-25T02:09:15Z,0.000000
337-TA-1384,2026-09-25T02:09:19Z,0.000000
337-TA-1417,2026-09-25T02:16:00Z,0.022627
337-TA-1417,2026-09-25T02:19:22Z,0.000000
337-TA-1366,2026-09-25T02:19:28Z,0.000000
337-TA-1384,2026-09-25T02:19:32Z,0.000000
337-TA-1366,2026-09-25T15:34:59Z,0.000000
337-TA-1384,2026-09-25T15:35:04Z,0.000000
337-TA-1417,2026-09-25T15:35:14Z,0.000000
337-TA-1366,2026-09-25T15:36:22Z,0.000000
337-TA-1384,2026-09-25T15:36:27Z,0.000000
337-TA-1417,2026-09-25T15:36:38Z,0.000000
analytics-review,2026-09-25T18:00:35Z,0.043163
analytics-review,2026-09-25T18:02:38Z,0.033715
analytics-review,2026-09-25T21:28:54Z,0.137350
