investigation_number,build_datetime,cost_usd
next-actions:337-1478,2026-09-26T01:42:32Z,0.036577
next-actions:337-1515,2026-09-26T01:43:10Z,0.018822
next-actions:337-1517,2026-09-26T01:43:45Z,0.024388
next-actions:337-1409,2026-09-26T01:43:50Z,0.010431
next-actions:337-1464,2026-09-26T01:45:38Z,0.056715
next-actions:337-1478,2026-09-26T01:49:11Z,0.040237
next-actions:337-1515,2026-09-26T01:49:39Z,0.020717
next-actions:337-1517,2026-09-26T01:50:22Z,0.037298
next-actions:337-1409,2026-09-26T01:50:27Z,0.010706
next-actions:337-1464,2026-09-26T01:51:31Z,0.060925
next-actions:337-1424,2026-09-26T18:04:13Z,0.007901
next-actions:337-1432,2026-09-26T18:04:15Z,0.006740
next-actions:337-1433,2026-09-26T18:04:20Z,0.007579
next-actions:337-1440,2026-09-26T18:04:26Z,0.012064
next-actions:337-1442,2026-09-26T18:04:32Z,0.011894
next-actions:337-1447,2026-09-26T18:08:00Z,0.097656
next-actions:337-1449,2026-09-26T18:08:06Z,0.011773
next-actions:337-1454,2026-09-26T18:08:07Z,0.004234
next-actions:337-1458,2026-09-26T18:09:27Z,0.072003
next-actions:337-1461,2026-09-26T18:10:42Z,0.073662
next-actions:337-1467,2026-09-26T18:12:02Z,0.092774
next-actions:337-1468,2026-09-26T18:13:26Z,0.053379
next-actions:337-1469,2026-09-26T18:13:53Z,0.025133
next-actions:337-1470,2026-09-26T18:14:47Z,0.048780
next-actions:337-1471,2026-09-26T18:15:32Z,0.029230
next-actions:337-1472,2026-09-26T18:16:31Z,0.068798
next-actions:337-1473,2026-09-26T18:16:53Z,0.018165
next-actions:337-1474,2026-09-26T18:17:20Z,0.022861
next-actions:337-1476,2026-09-26T18:17:51Z,0.024371
next-actions:337-1477,2026-09-26T18:18:11Z,0.020859
next-actions:337-1479,2026-09-26T18:18:51Z,0.033569
next-actions:337-1482,2026-09-26T18:21:30Z,0.096086
next-actions:337-1483,2026-09-26T18:22:18Z,0.027774
next-actions:337-1484,2026-09-26T18:23:17Z,0.066246
next-actions:337-1485,2026-09-26T18:23:50Z,0.023970
next-actions:337-1486,2026-09-26T18:24:28Z,0.047151
next-actions:337-1487,2026-09-26T18:26:37Z,0.071659
next-actions:337-1488,2026-09-26T18:27:49Z,0.061516
next-actions:337-1489,2026-09-26T18:28:14Z,0.022825
next-actions:337-1490,2026-09-26T18:28:56Z,0.050341
next-actions:337-1491,2026-09-26T18:30:06Z,0.075337
next-actions:337-1492,2026-09-26T18:30:26Z,0.022981
next-actions:337-1493,2026-09-26T18:31:07Z,0.031239
next-actions:337-1494,2026-09-26T18:31:46Z,0.041688
next-actions:337-1495,2026-09-26T18:32:13Z,0.029766
next-actions:337-1496,2026-09-26T18:33:34Z,0.054761
next-actions:337-1497,2026-09-26T18:34:07Z,0.026075
next-actions:337-1498,2026-09-26T18:34:43Z,0.026741
next-actions:337-1499,2026-09-26T18:35:17Z,0.025872
next-actions:337-1500,2026-09-26T18:35:43Z,0.026516
next-actions:337-1501,2026-09-26T18:36:10Z,0.030816
next-actions:337-1502,2026-09-26T18:36:24Z,0.012268
next-actions:337-1503,2026-09-26T18:36:42Z,0.019574
next-actions:337-1504,2026-09-26T18:37:17Z,0.027252
next-actions:337-1505,2026-09-26T18:37:58Z,0.029519
next-actions:337-1506,2026-09-26T18:38:24Z,0.028654
next-actions:337-1507,2026-09-26T18:39:26Z,0.043650
next-actions:337-1508,2026-09-26T18:39:45Z,0.019897
next-actions:337-1509,2026-09-26T18:40:14Z,0.021724
next-actions:337-1510,2026-09-26T18:40:31Z,0.016072
next-actions:337-1511,2026-09-26T18:40:43Z,0.028981
next-actions:337-1512,2026-09-26T18:41:05Z,0.024797
next-actions:337-1513,2026-09-26T18:41:34Z,0.024317
next-actions:337-1514,2026-09-26T18:42:26Z,0.042227
next-actions:337-1516,2026-09-26T18:42:43Z,0.019020
next-actions:337-1518,2026-09-26T18:42:46Z,0.015271
next-actions:337-1519,2026-09-26T18:42:50Z,0.015185
next-actions:337-1520,2026-09-26T18:43:05Z,0.031330
next-actions:337-1521,2026-09-26T18:43:07Z,0.015029
