investigation_number,build_datetime,cost_usd
337-1366,2026-09-26T20:03:32Z,0.088584
337-1366,2026-09-26T20:06:58Z,0.120116
337-1384,2026-09-26T20:09:08Z,0.075857
337-1417,2026-09-26T20:11:23Z,0.121376
337-1270,2026-09-26T20:13:47Z,0.109719
337-1500,2026-09-26T20:38:49Z,0.118188
337-1366,2026-09-26T21:03:34Z,0.197463
337-1384,2026-09-26T21:06:47Z,0.106302
337-1417,2026-09-26T21:07:17Z,0.048319
337-1270,2026-09-26T21:12:04Z,0.296304
337-1500,2026-09-26T21:12:30Z,0.040079
337-1270,2026-09-26T21:26:30Z,0.107401
